Id,SalePrice
1461,125271
1462,156428
1463,185505
1464,189416
1465,195692
1466,169036
1467,170701
1468,166071
1469,194468
1470,117126
1471,184944
1472,95627
1473,95825
1474,151906
1475,116914
1476,365336
1477,249946
1478,321129
1479,306619
1480,419608
1481,322863
1482,201923
1483,172880
1484,163782
1485,187736
1486,192966
1487,340634
1488,224904
1489,191173
1490,241892
1491,190476
1492,104162
1493,188304
1494,302462
1495,312210
1496,239640
1497,171341
1498,165337
1499,165440
1500,161321
1501,176472
1502,158247
1503,275237
1504,225272
1505,206795
1506,196368
1507,249311
1508,196232
1509,162274
1510,144706
1511,149083
1512,173215
1513,146541
1514,171423
1515,198546
1516,151833
1517,165188
1518,128768
1519,206503
1520,127688
1521,130721
1522,169490
1523,102930
1524,120619
1525,124410
1526,116630
1527,109099
1528,134624
1529,143610
1530,188966
1531,126047
1532,107563
1533,137868
1534,116724
1535,159310
1536,109864
1537,64932
1538,169725
1539,206813
1540,113021
1541,142265
1542,133893
1543,191091
1544,89211
1545,114230
1546,126459
1547,136800
1548,125124
1549,107866
1550,130682
1551,125384
1552,143414
1553,154062
1554,125346
1555,182431
1556,110311
1557,114583
1558,95829
1559,95753
1560,126402
1561,126018
1562,126154
1563,116552
1564,166933
1565,143492
1566,239550
1567,75700
1568,225021
1569,128665
1570,147554
1571,120186
1572,151083
1573,248012
1574,120110
1575,238950
1576,229117
1577,176741
1578,156872
1579,141276
1580,188191
1581,164809
1582,128518
1583,313251
1584,213406
1585,144219
1586,69807
1587,100001
1588,160324
1589,97419
1590,129782
1591,93141
1592,126491
1593,125521
1594,125929
1595,112261
1596,210273
1597,168896
1598,192774
1599,186062
1600,170332
1601,63513
1602,119922
1603,87493
1604,263554
1605,242657
1606,166618
1607,184884
1608,206693
1609,190639
1610,159326
1611,143910
1612,174650
1613,162460
1614,139713
1615,93778
1616,73185
1617,90035
1618,124150
1619,140963
1620,161469
1621,139060
1622,144635
1623,285270
1624,202537
1625,125118
1626,166773
1627,186241
1628,290768
1629,172246
1630,339825
1631,202744
1632,232393
1633,168539
1634,189023
1635,187127
1636,161857
1637,189328
1638,199103
1639,184703
1640,248179
1641,187749
1642,225055
1643,213057
1644,213899
1645,233710
1646,165885
1647,164632
1648,129876
1649,133766
1650,117988
1651,117084
1652,100312
1653,105526
1654,149727
1655,142669
1656,146362
1657,148032
1658,148859
1659,123023
1660,144864
1661,440632
1662,375641
1663,368677
1664,440048
1665,327836
1666,350070
1667,356073
1668,343476
1669,316842
1670,354739
1671,265929
1672,390409
1673,313400
1674,243214
1675,194986
1676,199411
1677,210463
1678,406226
1679,369114
1680,330422
1681,253301
1682,329397
1683,191910
1684,184680
1685,179895
1686,166620
1687,167587
1688,191113
1689,190989
1690,197193
1691,189658
1692,268536
1693,167370
1694,184647
1695,165720
1696,270226
1697,166546
1698,354592
1699,313550
1700,248724
1701,272024
1702,244601
1703,246861
1704,301670
1705,226481
1706,395850
1707,204928
1708,191791
1709,256540
1710,204446
1711,262551
1712,253703
1713,278099
1714,205886
1715,197117
1716,174955
1717,166693
1718,142517
1719,197473
1720,223872
1721,166695
1722,137953
1723,165536
1724,199091
1725,230067
1726,187401
1727,157804
1728,180573
1729,164381
1730,149957
1731,121836
1732,126535
1733,114071
1734,116674
1735,138610
1736,111804
1737,329507
1738,243745
1739,263142
1740,216025
1741,189090
1742,166860
1743,179271
1744,319601
1745,201229
1746,199908
1747,215978
1748,231683
1749,157976
1750,150846
1751,243589
1752,119751
1753,155000
1754,203560
1755,172756
1756,125843
1757,118064
1758,151967
1759,169273
1760,166701
1761,163331
1762,179015
1763,179299
1764,119117
1765,188124
1766,194248
1767,234125
1768,145025
1769,166648
1770,159601
1771,125634
1772,129093
1773,128522
1774,143420
1775,129660
1776,126070
1777,109701
1778,151293
1779,122712
1780,169006
1781,126220
1782,88562
1783,144229
1784,109760
1785,126245
1786,159074
1787,172819
1788,70291
1789,114189
1790,93719
1791,190227
1792,160632
1793,141975
1794,164887
1795,127890
1796,143988
1797,129703
1798,118603
1799,115810
1800,126217
1801,129279
1802,132966
1803,151925
