Id,SalePrice
1461,127674
1462,166763
1463,179304
1464,189555
1465,195860
1466,168539
1467,180852
1468,161296
1469,195240
1470,119478
1471,189730
1472,96342
1473,93566
1474,154146
1475,116337
1476,364900
1477,255462
1478,325846
1479,298888
1480,445838
1481,312686
1482,200437
1483,171046
1484,157517
1485,189829
1486,191156
1487,328948
1488,231744
1489,191562
1490,233615
1491,190935
1492,107125
1493,190446
1494,295818
1495,299862
1496,232834
1497,171794
1498,166538
1499,166844
1500,158523
1501,187086
1502,158113
1503,285756
1504,231268
1505,202590
1506,194859
1507,251221
1508,198308
1509,160239
1510,142231
1511,154060
1512,177385
1513,143430
1514,170782
1515,190168
1516,148393
1517,167648
1518,127677
1519,210533
1520,131703
1521,133026
1522,173268
1523,105760
1524,117987
1525,123408
1526,113804
1527,106880
1528,137099
1529,150591
1530,191398
1531,127678
1532,112422
1533,148930
1534,121423
1535,155395
1536,101153
1537,68093
1538,167261
1539,210287
1540,124534
1541,130364
1542,137256
1543,190988
1544,93285
1545,124844
1546,137152
1547,137256
1548,135827
1549,113301
1550,137138
1551,122774
1552,153633
1553,166708
1554,123592
1555,172462
1556,103050
1557,116045
1558,98937
1559,106662
1560,127674
1561,124107
1562,127675
1563,121132
1564,166763
1565,147685
1566,241535
1567,68595
1568,231545
1569,137162
1570,150806
1571,122423
1572,147887
1573,239440
1574,120667
1575,238505
1576,230238
1577,170054
1578,151900
1579,140514
1580,189545
1581,166913
1582,129935
1583,310000
1584,223186
1585,147471
1586,62162
1587,103428
1588,166488
1589,100660
1590,127680
1591,95632
1592,121596
1593,127675
1594,133358
1595,121120
1596,223450
1597,167238
1598,191026
1599,189847
1600,170330
1601,64456
1602,121307
1603,88014
1604,267213
1605,233657
1606,167106
1607,183539
1608,201388
1609,191241
1610,159259
1611,140917
1612,174060
1613,166432
1614,153714
1615,102192
1616,79419
1617,93093
1618,121096
1619,147422
1620,167228
1621,137175
1622,152752
1623,296242
1624,201665
1625,120503
1626,166850
1627,188566
1628,284054
1629,171733
1630,333658
1631,202916
1632,232061
1633,173522
1634,182974
1635,180739
1636,157923
1637,190776
1638,198900
1639,180164
1640,240891
1641,186195
1642,228745
1643,205933
1644,228349
1645,232748
1646,166911
1647,165309
1648,127676
1649,137061
1650,117103
1651,114960
1652,96626
1653,104995
1654,150514
1655,137049
1656,143579
1657,149603
1658,150444
1659,120343
1660,150849
1661,441843
1662,380407
1663,379476
1664,445506
1665,327911
1666,350008
1667,355125
1668,343905
1669,309439
1670,363316
1671,281596
1672,398492
1673,297697
1674,233511
1675,191344
1676,196572
1677,202620
1678,434351
1679,373329
1680,336077
1681,270772
1682,335275
1683,190004
1684,187676
1685,174554
1686,162415
1687,173975
1688,189610
1689,190247
1690,191724
1691,189925
1692,260190
1693,181891
1694,175541
1695,167020
1696,273049
1697,167004
1698,347790
1699,311813
1700,243320
1701,272598
1702,238588
1703,241692
1704,291721
1705,230671
1706,404051
1707,202070
1708,191789
1709,259818
1710,201342
1711,258141
1712,258225
1713,277431
1714,203103
1715,194761
1716,179572
1717,167231
1718,139016
1719,201700
1720,229888
1721,170163
1722,137287
1723,166535
1724,201774
1725,230623
1726,190352
1727,152222
1728,188734
1729,159122
1730,154185
1731,117035
1732,124750
1733,107298
1734,113643
1735,137013
1736,99385
1737,316334
1738,243017
1739,241839
1740,211782
1741,185021
1742,167150
1743,188243
1744,319222
1745,202684
1746,201819
1747,226821
1748,228369
1749,155720
1750,141395
1751,235692
1752,115201
1753,156617
1754,201349
1755,176342
1756,124224
1757,120263
1758,153691
1759,166788
1760,166967
1761,156840
1762,181418
1763,185888
1764,114762
1765,190202
1766,199958
1767,229849
1768,147424
1769,166683
1770,159971
1771,124817
1772,137224
1773,128427
1774,154102
1775,135718
1776,134275
1777,107293
1778,152209
1779,129466
1780,167302
1781,127099
1782,82418
1783,139178
1784,107596
1785,128743
1786,146871
1787,167085
1788,66769
1789,104686
1790,88243
1791,185839
1792,159853
1793,134528
1794,166643
1795,134808
1796,139615
1797,128586
1798,116877
1799,113517
1800,127421
1801,127674
1802,131544
1803,151416
1804,134019
1805,137534
1806,128338
1807,150678
1808,130276
1809,131452
1810,150643
1811,79500
1812,100592
1813,127676
1814,82839
1815,63312
1816,105627
1817,121294
1818,164041
1819,134722
1820,68959
1821,117186
1822,153600
1823,60843
1824,137263
1825,140147
1826,95503
1827,98791
1828,137082
1829,123866
1830,153188
1831,152534
1832,101648
1833,149751
1834,137149
1835,134140
1836,129779
1837,116515
1838,127678
1839,97727
1840,166608
1841,135520
1842,97259
1843,133422
1844,128991
1845,143311
1846,152643
1847,170540
1848,43157
1849,117681
1850,118820
1851,155047
1852,123285
1853,127674
1854,167198
1855,156687
1856,203327
1857,159872
1858,137124
1859,108209
1860,153590
1861,107370
1862,258783
1863,246785
1864,246734
1865,348018
1866,337050
1867,228679
1868,296378
1869,201224
1870,229678
1871,236928
1872,174301
1873,231758
1874,153605
1875,196782
1876,190311
1877,213258
1878,191315
1879,136329
1880,134311
1881,247539
1882,233653
1883,185656
1884,195248
1885,247561
1886,300417
1887,216372
1888,283005
1889,167924
1890,113363
1891,126834
1892,103619
1893,127680
1894,127674
1895,137160
1896,127676
1897,127674
1898,126192
1899,159970
1900,160800
1901,172705
1902,156067
1903,201971
1904,137068
1905,185377
1906,153054
1907,202252
1908,111719
1909,137305
1910,127676
1911,190049
1912,283697
1913,164105
1914,77592
1915,304939
1916,68540
1917,234100
1918,150498
1919,188443
1920,162238
1921,383390
1922,335232
1923,227118
1924,232048
1925,201797
1926,382307
1927,137123
1928,165149
1929,131145
1930,130248
1931,151263
1932,137069
1933,190443
1934,170416
1935,166825
1936,190943
1937,186721
1938,171274
1939,236632
1940,194830
1941,167062
1942,188388
1943,227505
1944,337412
1945,386214
1946,162768
1947,331447
1948,185936
1949,232915
1950,189907
1951,268873
1952,231675
1953,184928
1954,186665
1955,137151
1956,284794
1957,159113
1958,291970
1959,137012
1960,101770
1961,125605
1962,96737
1963,107078
1964,105229
1965,151703
1966,129280
1967,296880
1968,391186
1969,387403
1970,415590
1971,416233
1972,374519
1973,287720
1974,321876
1975,449401
1976,281177
1977,349025
1978,347230
1979,332340
1980,191388
1981,370290
1982,226773
1983,202133
1984,189763
1985,205425
1986,201717
1987,191172
1988,171777
1989,190631
1990,202488
1991,230008
1992,202202
1993,173454
1994,233426
1995,177951
1996,271759
1997,320204
1998,321470
1999,286581
2000,312916
2001,269751
2002,233542
2003,233671
2004,283705
2005,226022
2006,218844
2007,236857
2008,202820
2009,190120
2010,191189
2011,151512
2012,167059
2013,169914
2014,186380
2015,201967
2016,189032
2017,191140
2018,126586
2019,133558
2020,94100
2021,102855
2022,172165
2023,137191
2024,280093
2025,361713
2026,167185
2027,163451
2028,162040
2029,166467
2030,260090
2031,239881
2032,255529
2033,256359
2034,174642
2035,196005
2036,198447
2037,200216
2038,295174
2039,203185
2040,306127
2041,281260
2042,191345
2043,187393
2044,190732
2045,203158
2046,151038
2047,138370
2048,137205
2049,148720
2050,186515
2051,112987
2052,127124
2053,147895
2054,86430
2055,156149
2056,147189
2057,115052
2058,197169
2059,138616
2060,178087
2061,167298
2062,127676
2063,119661
2064,142273
2065,127678
2066,165905
2067,133010
2068,157322
2069,86892
2070,111684
2071,91742
2072,137194
2073,137058
2074,165629
2075,154587
2076,123203
2077,156695
2078,120176
2079,127680
2080,121035
2081,127678
2082,135904
2083,137266
2084,106295
2085,118663
2086,109850
2087,116601
2088,104016
2089,69737
2090,137111
2091,102107
2092,127675
2093,137068
2094,127370
2095,137117
2096,95241
2097,104022
2098,155570
2099,64357
2100,81004
2101,111080
2102,135649
2103,103546
2104,141077
2105,146877
2106,51267
2107,190903
2108,98930
2109,98768
2110,127678
2111,153156
2112,127677
2113,119249
2114,127679
2115,160037
2116,119867
2117,148123
2118,111106
2119,119428
2120,119254
2121,96949
2122,100226
2123,83172
2124,161834
2125,137057
2126,145901
2127,158126
2128,150319
2129,102840
2130,137275
2131,138498
2132,122130
2133,119267
2134,123044
2135,101887
2136,72295
2137,108497
2138,143066
2139,137143
2140,136223
2141,152369
2142,106905
2143,129881
2144,127680
2145,136228
2146,181809
2147,151330
2148,137103
2149,163409
2150,226168
2151,118058
2152,173169
2153,188294
2154,109055
2155,137032
2156,246453
2157,233366
2158,233039
2159,201776
2160,190790
2161,232611
2162,380547
2163,370272
2164,246481
2165,191099
2166,162324
2167,229102
2168,190755
2169,190441
2170,202022
2171,156149
2172,137190
2173,166630
2174,203601
2175,298210
2176,326683
2177,233433
2178,203031
2179,137120
2180,233502
2181,183185
2182,202392
2183,190130
2184,127675
2185,127680
2186,154071
2187,151328
2188,152725
2189,233666
2190,66276
2191,64923
2192,91272
2193,127675
2194,115917
2195,104631
2196,124470
2197,124870
2198,166717
2199,170797
2200,150402
2201,151734
2202,197485
2203,146079
2204,170596
2205,125785
2206,150311
2207,200089
2208,232342
2209,230609
2210,122647
2211,119242
2212,106930
2213,119606
2214,133075
2215,106571
2216,149019
2217,71584
2218,95554
2219,85517
2220,68905
2221,304599
2222,263455
2223,283549
2224,201781
2225,127678
2226,195021
2227,193851
2228,278081
2229,257143
2230,157884
2231,225934
2232,185494
2233,199077
2234,237685
2235,232821
2236,255251
2237,321709
2238,194048
2239,125075
2240,162852
2241,166866
2242,127043
2243,129779
2244,111885
2245,117925
2246,154630
2247,133461
2248,127200
2249,126246
2250,131572
2251,127328
2252,167421
2253,160594
2254,167293
2255,187748
2256,183810
2257,200894
2258,162851
2259,167046
2260,159348
2261,195363
2262,228049
2263,344789
2264,430637
2265,186374
2266,291980
2267,365511
2268,414811
2269,156234
2270,191031
2271,229008
2272,196947
2273,167066
2274,173773
2275,167118
2276,191448
2277,190328
2278,137161
2279,123270
2280,116604
2281,152334
2282,177276
2283,110172
2284,121601
2285,138483
2286,120976
2287,386584
2288,296278
2289,365215
2290,435941
2291,336478
2292,414658
2293,432992
2294,386394
2295,444795
2296,284200
2297,349305
2298,362096
2299,349409
2300,318023
2301,315494
2302,261046
2303,247822
2304,261481
2305,203029
2306,197919
2307,191582
2308,203281
2309,290068
2310,222147
2311,202013
2312,190450
2313,170397
2314,186811
2315,189879
2316,201548
2317,189645
2318,186736
2319,189657
2320,190139
2321,231798
2322,189619
2323,195546
2324,189508
2325,222337
2326,178544
2327,197916
2328,224715
2329,186782
2330,172042
2331,352045
2332,374297
2333,320429
2334,258674
2335,287666
2336,326024
2337,191516
2338,278418
2339,202516
2340,387432
2341,218132
2342,226851
2343,211273
2344,202829
2345,228781
2346,202606
2347,192091
2348,233534
2349,190865
2350,302551
2351,246875
2352,242226
2353,233631
2354,153211
2355,154442
2356,161899
2357,177728
2358,194324
2359,127679
2360,112060
2361,137378
2362,233872
2363,137011
2364,165846
2365,203185
2366,190209
2367,201841
2368,202812
2369,223300
2370,165245
2371,166737
2372,177570
2373,274057
2374,301052
2375,231605
2376,291497
2377,313867
2378,150687
2379,201963
2380,161024
2381,175885
2382,200505
2383,192556
2384,232518
2385,167087
2386,137006
2387,130689
2388,100885
2389,126353
2390,137185
2391,137193
2392,110905
2393,161427
2394,138069
2395,191781
2396,137242
